timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673704025167,137,/user_info_3,200,OK,Group_31 1-5,text,true,,370,248,11,11,http://162.55.220.72:5005/user_info_3,136,0,65
1673704025166,138,/user_info_2,200,OK,Group_31 1-7,text,true,,464,248,11,11,http://162.55.220.72:5005/user_info_2,137,0,66
1673704025166,138,/object_info_1,200,OK,Group_31 1-3,text,true,,230,164,11,11,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,137,0,66
1673704025199,127,/object_info_2,200,OK,Group_31 1-1,text,true,,464,166,11,11,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,127,0,63
1673704025204,130,/get_method,200,OK,Group_31 1-10,text,true,,169,151,12,12,http://162.55.220.72:5005/get_method?name=Alona&age=32,129,0,63
1673704025222,128,/user_info_2,200,OK,Group_31 1-8,text,true,,464,248,12,12,http://162.55.220.72:5005/user_info_2,128,0,62
1673704025226,129,/user_info_3,200,OK,Group_31 1-6,text,true,,370,248,12,12,http://162.55.220.72:5005/user_info_3,128,0,65
1673704025247,125,/object_info_1,200,OK,Group_31 1-4,text,true,,230,164,12,12,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,125,0,62
1673704025251,127,/object_info_2,200,OK,Group_31 1-2,text,true,,464,166,12,12,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,127,0,63
1673704025266,134,/get_method,200,OK,Group_31 1-11,text,true,,169,151,13,13,http://162.55.220.72:5005/get_method?name=Alona&age=32,134,0,65
1673704025286,128,/user_info_2,200,OK,Group_31 1-9,text,true,,464,248,13,13,http://162.55.220.72:5005/user_info_2,127,0,62
1673704025304,133,/user_info_3,200,OK,Group_31 1-7,text,true,,370,248,13,13,http://162.55.220.72:5005/user_info_3,132,0,62
1673704025304,134,/object_info_2,200,OK,Group_31 1-3,text,true,,464,166,14,14,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,134,0,61
1673704025304,134,/object_info_1,200,OK,Group_31 1-5,text,true,,230,164,14,14,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,134,0,63
1673704025326,123,/object_info_3,200,OK,Group_31 1-1,text,true,,525,166,14,14,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,123,0,61
1673704025330,135,/get_method,200,OK,Group_31 1-12,text,true,,169,151,14,14,http://162.55.220.72:5005/get_method?name=Alona&age=32,135,0,70
1673704025334,134,/user_info_2,200,OK,Group_31 1-10,text,true,,464,248,14,14,http://162.55.220.72:5005/user_info_2,134,0,66
1673704025350,124,/user_info_3,200,OK,Group_31 1-8,text,true,,370,248,14,14,http://162.55.220.72:5005/user_info_3,124,0,60
1673704025355,124,/object_info_1,200,OK,Group_31 1-6,text,true,,230,164,14,14,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,123,0,61
1673704025373,132,/object_info_2,200,OK,Group_31 1-4,text,true,,464,166,15,15,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,132,0,63
1673704025379,133,/object_info_3,200,OK,Group_31 1-2,text,true,,525,166,15,15,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,132,0,65
1673704025393,153,/get_method,200,OK,Group_31 1-13,text,true,,169,151,15,15,http://162.55.220.72:5005/get_method?name=Alona&age=32,153,0,62
1673704025401,145,/user_info_2,200,OK,Group_31 1-11,text,true,,464,248,15,15,http://162.55.220.72:5005/user_info_2,145,0,62
1673704025414,136,/user_info_3,200,OK,Group_31 1-9,text,true,,370,248,15,15,http://162.55.220.72:5005/user_info_3,136,0,62
1673704025438,130,/object_info_1,200,OK,Group_31 1-7,text,true,,230,164,16,16,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,129,0,62
1673704025439,142,/object_info_2,200,OK,Group_31 1-5,text,true,,464,166,16,16,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,142,0,65
1673704025439,146,/object_info_3,200,OK,Group_31 1-3,text,true,,525,166,16,16,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,145,0,66
1673704025442,145,/get_method,200,OK,Group_31 1-14,text,true,,169,151,16,16,http://162.55.220.72:5005/get_method?name=Alona&age=32,145,0,63
1673704025450,138,/object_info_4,200,OK,Group_31 1-1,text,true,,237,166,16,16,http://162.55.220.72:5005/object_info_4?name=Alona&age=32&salary=1000,137,0,62
1673704025466,149,/user_info_2,200,OK,Group_31 1-12,text,true,,464,248,15,15,http://162.55.220.72:5005/user_info_2,148,0,79
1673704025469,154,/user_info_3,200,OK,Group_31 1-10,text,true,,370,248,15,15,http://162.55.220.72:5005/user_info_3,153,0,77
1673704025479,147,/object_info_2,200,OK,Group_31 1-6,text,true,,464,166,15,15,http://162.55.220.72:5005/object_info_2?name=Alona&age=32&salary=1000,147,0,73
1673704025474,152,/object_info_1,200,OK,Group_31 1-8,text,true,,230,164,15,15,http://162.55.220.72:5005/object_info_1?name=Alona&age=32&weight=60,152,0,74
1673704025502,134,/get_method,200,OK,Group_31 1-15,text,true,,169,151,16,16,http://162.55.220.72:5005/get_method?name=Alona&age=32,134,0,66
1673704025506,136,/object_info_3,200,OK,Group_31 1-4,text,true,,525,166,16,16,http://162.55.220.72:5005/object_info_3?name=Alona&age=32&salary=1000,135,0,66
